date,city,price
2018-12-01,MONTPELLIER,2859.3507255552977
2019-01-01,MONTPELLIER,2865.1125419051095
2019-02-01,MONTPELLIER,2870.8743582549214
2019-03-01,MONTPELLIER,2876.078579474124
2019-04-01,MONTPELLIER,2881.840395823965
2019-05-01,MONTPELLIER,2887.416347130231
2019-06-01,MONTPELLIER,2893.178163480072
2019-07-01,MONTPELLIER,2898.7541147863376
2019-08-01,MONTPELLIER,2904.5159311361494
2019-09-01,MONTPELLIER,2910.2777474859904
2019-10-01,MONTPELLIER,2915.853698792256
2019-11-01,MONTPELLIER,2921.615515142097
2019-12-01,MONTPELLIER,2927.191466448363
2020-01-01,MONTPELLIER,2932.953282798204
2020-02-01,MONTPELLIER,2938.7150991480157
2020-03-01,MONTPELLIER,2944.1051854107645
2020-04-01,MONTPELLIER,2949.8670017605764
2020-05-01,MONTPELLIER,2955.4429530668713
2020-06-01,MONTPELLIER,2961.204769416683
2020-07-01,MONTPELLIER,2966.780720722978
2020-08-01,MONTPELLIER,2972.54253707279
2020-09-01,MONTPELLIER,2978.304353422631
2020-10-01,MONTPELLIER,2983.8803047288966
2020-11-01,MONTPELLIER,2989.6421210787375
2020-12-01,MONTPELLIER,2995.2180723850033
2016-01-01,MARSEILLE,2334.47998960159
2016-02-01,MARSEILLE,2341.465363616444
2016-03-01,MARSEILLE,2348.000068340043
2016-04-01,MARSEILLE,2354.985442354926
2016-05-01,MARSEILLE,2361.7454817241523
2016-06-01,MARSEILLE,2368.730855739035
2016-07-01,MARSEILLE,2375.4908951082616
2016-08-01,MARSEILLE,2382.4762691231153
2016-09-01,MARSEILLE,2389.461643137998
2016-10-01,MARSEILLE,2396.2216825072246
2016-11-01,MARSEILLE,2403.2070565221075
2016-12-01,MARSEILLE,2409.967095891334
2017-01-01,MARSEILLE,2416.9524699062167
2017-02-01,MARSEILLE,2423.9378439210705
2017-03-01,MARSEILLE,2430.2472139990423
2017-04-01,MARSEILLE,2437.232588013896
2017-05-01,MARSEILLE,2443.9926273831225
2017-06-01,MARSEILLE,2450.9780013980053
2017-07-01,MARSEILLE,2457.7380407672317
2017-08-01,MARSEILLE,2464.7234147821146
2017-09-01,MARSEILLE,2471.7087887969974
2017-10-01,MARSEILLE,2478.468828166224
2017-11-01,MARSEILLE,2485.4542021810776
2017-12-01,MARSEILLE,2492.214241550333
2018-01-01,MARSEILLE,2499.199615565187
2018-02-01,MARSEILLE,2506.1849895800697
2018-03-01,MARSEILLE,2512.4943596580124
2018-04-01,MARSEILLE,2519.4797336728952
2018-05-01,MARSEILLE,2526.2397730421217
2018-06-01,MARSEILLE,2533.2251470570045
2018-07-01,MARSEILLE,2539.985186426231
2018-08-01,MARSEILLE,2546.9705604410847
2018-09-01,MARSEILLE,2553.9559344559675
2018-10-01,MARSEILLE,2560.715973825194
2018-11-01,MARSEILLE,2567.701347840077
2018-12-01,MARSEILLE,2574.461387209303
2019-01-01,MARSEILLE,2581.446761224186
2019-02-01,MARSEILLE,2588.43213523904
2019-03-01,MARSEILLE,2594.7415053170116
2019-04-01,MARSEILLE,2601.7268793318653
2019-05-01,MARSEILLE,2608.486918701121
2019-06-01,MARSEILLE,2615.4722927159746
2019-07-01,MARSEILLE,2622.232332085201
2019-08-01,MARSEILLE,2629.217706100084
2019-09-01,MARSEILLE,2636.2030801149667
2019-10-01,MARSEILLE,2642.963119484193
2019-11-01,MARSEILLE,2649.948493499047
2019-12-01,MARSEILLE,2656.7085328683024
2020-01-01,MARSEILLE,2663.693906883156
2020-02-01,MARSEILLE,2670.679280898039
